,question_id,bundle_id,explanation_id,correct_answer,part,tags,deployed_at,correct_flag,question_flag
0,q1,b1,e1,b,1,1;2;179;181,1558093217098,196,229
1,q2,b2,e2,a,1,15;2;182,1558093219720,192,215
2,q3,b3,e3,b,1,14;2;179;183,1558093222784,824,1601
3,q4,b4,e4,b,1,9;2;179;184,1558093225357,519,693
4,q5,b5,e5,c,1,8;2;179;181,1558093228439,317,810
5,q6,b6,e6,d,1,9;2;179;182,1558093231307,183,273
6,q7,b7,e7,d,1,11;7;179;183,1558093233992,636,1524
7,q8,b8,e8,b,1,20;21;179;184,1558093236876,406,500
8,q9,b9,e9,c,1,13;2;179;183,1558093239849,197,241
9,q10,b10,e10,c,1,17;7;182,1558093243018,473,1466
10,q11,b11,e11,b,1,15;2;181,1514559389635,744,1149
11,q12,b12,e12,c,1,1;2;182,1514559392780,145,184
12,q13,b13,e13,a,1,1;2;183,1514559396067,494,647
13,q14,b14,e14,a,1,8;2;184,1514559399379,246,283
14,q15,b15,e15,d,1,14;2;181,1514559402986,305,494
15,q16,b16,e16,c,1,20;21;182,1514559406284,396,608
16,q18,b18,e18,b,1,5;2;179;184,1514559409803,204,266
17,q19,b19,e19,a,1,20;21;183,1514559412897,461,607
18,q20,b20,e20,b,1,10;7;179;182,1514559416209,274,347
19,q21,b21,e21,d,1,9;2;179;181,1568688286778,76,100
20,q22,b22,e22,c,1,6;7;179;182,1568688288996,234,329
21,q23,b23,e23,d,1,8;2;183,1568688291184,139,217
22,q24,b24,e24,a,1,6;7;184,1568688293421,179,269
23,q25,b25,e25,c,1,6;7;181,1568688295561,358,675
24,q26,b26,e26,a,1,6;7;182,1568688297819,267,305
25,q27,b27,e27,a,1,4;2;179;183,1568688300050,211,269
26,q28,b28,e28,a,1,6;7;184,1568688302532,228,351
27,q29,b29,e29,d,1,4;2;183,1568688304653,387,739
28,q31,b31,e31,b,1,1;2;179;181,1514558542994,202,253
29,q32,b32,e32,a,1,3;2;179;182,1514558546005,247,289
30,q33,b33,e33,c,1,4;2;179;183,1514558549023,213,261
31,q34,b34,e34,b,1,5;2;179;181,1514558551954,224,296
32,q35,b35,e35,a,1,6;7;183,1514558555136,325,498
33,q36,b36,e36,b,1,8;2;182,1514558558278,233,289
34,q37,b37,e37,c,1,9;2;179;181,1514558561318,249,308
35,q38,b38,e38,a,1,3;2;182,1514558564485,368,462
36,q39,b39,e39,b,1,10;7;179;183,1514558567475,303,332
